                    .;10/2024-09/2025;10/2025-09/2026;Minimum 10/2018-09/2021;Maximum 10/2018-09/2021
13.08.;65,43;;53,77;91,68
14.08.;65,73;;54,15;91,83
15.08.;66,12;;54,49;92,08
16.08.;66,47;;54,79;92,36
17.08.;66,85;;54,95;92,75
18.08.;67,11;;55,15;93,14
19.08.;67,41;;55,36;93,49
20.08.;67,66;;55,65;93,72
21.08.;67,94;;56,01;93,93
22.08.;68,19;;56,38;94,13
23.08.;68,56;;56,76;94,35
24.08.;68,91;;57,15;94,60
25.08.;69,17;;57,49;94,86
26.08.;69,42;;57,86;94,98
27.08.;69,60;;58,26;95,15
28.08.;69,92;;58,68;95,27
29.08.;70,26;;59,09;95,25
30.08.;70,65;;59,46;95,41
31.08.;71,05;;59,69;95,70
01.09.;72,54;;59,90;95,97
02.09.;72,54;;60,10;96,13
03.09.;72,74;;60,33;96,31
04.09.;73,08;;60,66;96,48
05.09.;73,33;;61,00;96,59
06.09.;73,69;;61,24;96,59
07.09.;74,08;;61,43;96,64
08.09.;74,22;;61,73;96,70
09.09.;74,23;;62,05;96,62
10.09.;74,41;;62,33;96,65
11.09.;74,59;;62,69;96,69
12.09.;74,84;;63,06;96,76
13.09.;75,13;;63,30;96,82
14.09.;75,40;;63,48;96,94
15.09.;75,62;;63,62;97,10
16.09.;75,76;;63,76;97,16
17.09.;75,86;;63,94;97,20
18.09.;75,99;;64,25;97,20
19.09.;76,12;;64,56;97,13
20.09.;76,38;;64,69;97,14
21.09.;76,63;;64,86;97,23
22.09.;76,65;;64,98;97,35
23.09.;76,45;;65,25;97,39
24.09.;76,44;;65,58;97,39
25.09.;76,46;;66,13;97,36
26.09.;76,50;;66,74;97,40
27.09.;76,62;;67,17;97,48
28.09.;76,73;;67,48;97,67
29.09.;76,73;;67,87;97,89
30.09.;76,68;;68,06;97,99
